startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,The Varsity Blues Scandal,"<p class=""lead"">In 2019, the scheme that had been operating for years, based on arranging bribes and fake athletic credentials to get students into universities was discovered. What followed was a series of lawsuits that were broadly covered by the media raising questions about the practices and legitimacy of the US college system.</p>",https://dailyutahchronicle.com/wp-content/uploads/2021/03/operationvarsityblues-logo-700x300-1.jpeg,,,,title,,,
2011,,,,2011,,,,,Case Precedents,"<p>2011 is the official date in which Rick Singer started to operate his scam. Nevertheless, many believe he could have been operating for much longer as he was on the college admission business many years before. His humble beginnings and inside knowledge about the college administration process helped him develop an astute way of thinking that helped him climb the social ladder miraculously.</p>
",https://cst.brightspotcdn.com/dims4/default/d9c6e15/2147483647/strip/true/crop/295x197+0+12/resize/1680x1120!/format/webp/quality/90/?url=https%3A%2F%2Fcdn.vox-cdn.com%2Fthumbor%2F1N1IwZuOw1TUdzgQSqWZzUjWCwk%3D%2F0x0%3A295x221%2F295x221%2Ffilters%3Afocal%28147x110%3A148x111%29%2Fcdn.vox-cdn.com%2Fuploads%2Fchorus_asset%2Ffile%2F16159812%2Fscreen_shot_2019_03_14_at_6.36.26_pm_e1552686534201.png,Chicago Sun-Times,How Rick Singer became the face of a college bribery scandal.,,,,,
2018,,,,2018,,,,,Scam Functioning at its Finest,"<p>The year before he got caught by the FBI, Singer had managed to have several important figures of the US college administration process on his payroll. The scheme operated, with Singer bribes and fake athletic credentials to get students into universities through his “side doors”, in exchange of large amounts of money. He basically found a way of scamming people on and universities on the already corrupted business of college acceptance and the <a href=""https://www.youtube.com/watch?v=BKOMu1xGWsY"">Ivy League</a> </p>",https://deadline.com/wp-content/uploads/2021/03/OVB_Vertical_Main_sRGB_W5.1.jpg,Netflix,Operation Varsity Blues Trailer,,,,,
2019,1,,,2019,,,,,Singer Gets Caught,"<p>By a matter of pure coincidence the FBI gets alerted about Singer´s scam. Rudy Meredith, a college coach who knew what Singer was doing, got arrested for other reasons and traded information about him to keep himself out of jail. After being ratted out and trying to avoid prison himself, Singer admitted to running a scam and accepted to collaborate with the FBI in order to try to get the confessions of his associates over the phone or at person.</p>","https://hips.hearstapps.com/hmg-prod/images/rick-singer-gettyimages-1130128099.jpg?crop=0.669xw:1.00xh;0.162xw,0&resize=1200:*",Elle,Who is Rick Singer? Explained.,,,,,
2019,3,12,,2019,3,12,,,Operation Varsity Blues is Revealed,"<p>The investigation, codenamed ""Operation Varsity Blues,"" was revealed to the public, and federal prosecutors announced charges against over 50 individuals, including actors Felicity Huffman and Lori Loughlin and her daughter Olivia Jade, as well as business executives. The public was infuriated and shocked by the magnitude of the case and the media coverage was huge generating streams of hate and backlash on social networks towards the participants of the scam.</p>",https://static01.nyt.com/images/2023/01/04/multimedia/04nat-singer-sentencing-sub-1-09d7/04nat-singer-sentencing-sub-1-09d7-superJumbo.jpg?quality=75&auto=webp,The New York Times,Scandal revealed: 50 charged in college admissions case.,,,,,
2019,3,,,2019,3,,,,Singer Pleads Guilty,"<p>Singer, the mastermind behind the scheme, pleaded guilty to charges of conspiracy to commit racketeering (engaging in an illegal scheme), conspiracy to commit money laundering, obstruction of justice, and conspiracy to defraud the United States. However, his sentencing did not come for another four years, at the beginning of 2023.</p>","https://media.cnn.com/api/v1/images/stellar/prod/230104171841-03-singer-sentencing-0104-sketch.jpg?q=w_1160,c_fill/f_webp",CNN,Rick Singer pleads guilty to multiple charges.,,,,,
2019,4, ,,2019,4,,,,Celebrities Appearing in Court,"<p>The most prominent celebrities involved in this scandal, including Full House’s Lori Loughlin and Desperate Housewives’ Felicity Huffman, began to appear in court. Loughlin and her husband, Mossimo Giannulli, plead not guilty, while Huffman pleads guilty to conspiracy to commit mail fraud and honest services mail fraud. Loughlin and Giannulli eventually plead guilty to the charges and got sentenced.</p>",https://static01.nyt.com/images/2019/04/10/us/10starcases01/merlin_153029313_807caaca-1d2b-4884-bb4f-d3a07792138d-superJumbo.jpg?quality=75&auto=webp ,The New York Times,"Lori Loughlin and Felicity Huffman: 1 Scandal, 2 Actresses, Diverging Paths.",,,,,
2021,10,,,2022,6,,,,More Convictions,"<p>More parents are convicted at trial during this time period. Some are sentenced to jail time, although according to <a href=""https://www.npr.org/2023/01/04/1146837418/rick-singer-sentenced-varsity-blues-college-admissions-bribery-scandal"">NPR</a>, “about two-thirds of Varsity Blues defendants were sentenced to three months or less of prison time, with many serving no time.” This brought up questions over the ethical implications involving money and prestige of what Singer called <a href=""https://abcnews.go.com/US/rick-singer-varsity-blues-college-scandal-back/story?id=114899131"">a victimless crime.”</a></p>",https://media.istockphoto.com/id/1323017775/photo/criminal-wearing-handcuffs-in-prison.jpg?s=612x612&w=0&k=20&c=gjOvPN0-iYo7c5o_bv728DGFTbHa5NGSwFsHP-oJK4Y=,iStock,The convictions continue to build up.,,,,,
2023,1,4,,2023,1,4,,,Singer Charged,"<p>Rick Singer was charged with three and a half years of prison time. Additionally, he was order to pay over <a href=""https://www.npr.org/2023/01/04/1146837418/rick-singer-sentenced-varsity-blues-college-admissions-bribery-scandal""> $19 million in restitution and forfeitures </a>, including over $10 million to the Internal Revenue Service <a href=""https://www.justice.gov/usao-ma/pr/architect-nationwide-college-admissions-scheme-sentenced-more-three-years-prison#:~:text=Singer%20was%20also%20ordered%20to,of%20a%20forfeiture%20money%20judgment."">(IRS)</a>of the American government. This sentencing came almost four years after he plead guilty to the charges back in early 2019. However, he was released from prison in August 2024.</p>",https://www.youtube.com/watch?v=gTFyenaT5oM,KENS 5: Your San Antonio News Source,College scam mastermind Rick Singer gets 3.5 years in prison.,,,,,
2025, ,,,2025,,,, ,Implications Today,"<p>Rick Singer, although now out of prison, has to keep cooperating with the FBI for years to come. He states he is ready to move on, and  <a href=""https://www.iecaonline.com/blog/ieca-responds-to-rick-singers-release-from-prison-and-plan-to-resume-college-counseling/"">plans to continue college counseling</a>. Additionally, admission to private universities in the United States has continuously gotten harder, with top universities like Princeton, Harvard, and MIT boasting acceptance rates of below five percent. Even though now this “side door” is closed, there are other ways in which privileged people can gain entry to these prestigious institutions, through donations, tutors, and more. The entire system of private university admissions in the United States is deeply flawed, and this scandal is just one of the ways in which it has manifested.</p>",https://lh5.googleusercontent.com/1KZqEvnY1n7lv3jMg2K8qyWqi80vqtapdTWT_wQ0ZK9M0no--0marZYaUAwfU3Xas1YanPFv0UNv8qu9EvQmOJYoenRJGQ2gwG3ajVeVIg5DJiRoxEMVHiao2mL1fKomUOGupJUi=s0,IvyScholars,Ivy league acceptance rates in the last decades.,,,,,
